"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.181104,-0.060025,0.55821132716
0.1,0.177331,-0.0361579166667,0.660470848765
0.15,0.1757875,0.000743166666667,0.772401064815
0.2,0.176988,0.0452569444444,0.803578070988
0.25,0.1805895,0.0871791666667,0.708924891975
0.3,0.1860775,0.119954722222,0.518956882716
0.35,0.193109,0.140153611111,0.289485648148
0.4,0.2004835,0.149395555556,0.0414987654321
0.45,0.208544,0.145679722222,-0.230466358025
0.5,0.215747,0.125861944444,-0.488563271605
0.55,0.221578,0.0944202777778,-0.69330462963
0.6,0.2255225,0.0541177777778,-0.83563904321
0.65,0.2272375,0.00790805555556,-0.901063117284
0.7,0.22638,-0.0395402777778,-0.880102006173
0.75,0.2231215,-0.0836538888889,-0.769526851852
0.8,0.2176335,-0.118906666667,-0.580876851852
0.85,0.2111165,-0.1466325,-0.28683904321
0.9,0.202027,-0.153111388889,0.0975009259259
0.95,0.1943095,-0.130149444444,0.35713287037
1,0.189336,-0.108521388889,0.451775462963
1.05,0.1836765,-0.0876555555556,0.571190277778
1.1,0.1799035,-0.0543083333333,0.727128240741
1.15,0.1778455,-0.0122908333333,0.828969598765
1.2,0.1785315,0.0335377777778,0.822935339506
1.25,0.181447,0.0742213888889,0.713683487654
1.3,0.186249,0.107378055556,0.53636095679
1.35,0.1925945,0.129958888889,0.306476851852
1.4,0.1997975,0.139010277778,0.0522439814815
1.45,0.2070005,0.135103888889,-0.199606944444
1.5,0.2138605,0.117858611111,-0.423297993827
1.55,0.219177,0.0905138888889,-0.596174228395
1.6,0.2231215,0.0567855555556,-0.726175462963
1.65,0.2251795,0.0160066666667,-0.802133024691
1.7,0.2248365,-0.0271541666667,-0.792922839506
1.75,0.222264,-0.0664086111111,-0.706855246914
1.8,0.2179765,-0.0997558333333,-0.567114506173
1.85,0.211974,-0.125385555556,-0.367295833333
1.9,0.2049425,-0.137962222222,-0.125819598765
1.95,0.197911,-0.141582777778,0.18092191358
2,0.1895075,-0.118906666667,0.46776095679
2.05,0.185906,-0.0896563888889,0.647518364198
2.1,0.1802465,-0.0527838888889,0.771432407407
2.15,0.180075,-0.00628833333333,0.763545524691
2.2,0.180418,0.0265825,0.687535030864
2.25,0.1826475,0.0602155555556,0.629944907407
2.3,0.1864205,0.0915619444444,0.524662962963
2.35,0.19208,0.116334166667,0.345223148148
2.4,0.198597,0.128434444444,0.110681018519
2.45,0.205457,0.127481666667,-0.132859567901
2.5,0.2118025,0.114333333333,-0.358720833333
2.55,0.2172905,0.0907997222222,-0.555363580247
2.6,0.2214065,0.0559280555556,-0.684359104938
2.65,0.22295,0.0182933333333,-0.724005246914
2.7,0.2231215,-0.0180075,-0.714106944444
2.75,0.221235,-0.0547847222222,-0.654346604938
2.8,0.217462,-0.0867027777778,-0.523763117284
2.85,0.2121455,-0.108997777778,-0.351945524691
2.9,0.206143,-0.121765,-0.171605864198
2.95,0.199626,-0.125290277778,0.00841620370371
3,0.1936235,-0.124432777778,0.254021141975
3.05,0.186249,-0.103852777778,0.564414969136
3.1,0.1823045,-0.0629786111111,0.774661265432
3.15,0.180075,-0.0210563888889,0.856017901235
3.2,0.179732,0.0283927777778,0.796575154321
3.25,0.183505,0.0654558333333,0.596174228395
3.3,0.1871065,0.0861311111111,0.415146450617
3.35,0.19208,0.104043333333,0.279005092593
3.4,0.1977395,0.115190833333,0.12518441358
3.45,0.2039135,0.118525555556,-0.0657416666667
3.5,0.2100875,0.109855277778,-0.281387037037
3.55,0.215404,0.0892752777778,-0.473107098765
3.6,0.2193485,0.0601202777778,-0.61141867284
3.65,0.221578,0.0260108333333,-0.692987037037
3.7,0.2220925,-0.0112427777778,-0.713842283951
3.75,0.220549,-0.0493538888889,-0.643918981481
3.8,0.216776,-0.0793663888889,-0.491580401235
3.85,0.2121455,-0.0988983333333,-0.317645524691
3.9,0.2066575,-0.111093888889,-0.138364506173
3.95,0.200655,-0.113380555556,0.045574537037
4,0.194824,-0.105377222222,0.207017438272
4.05,0.1898505,-0.0900375,0.329978703704
4.1,0.1860775,-0.0753647222222,0.500208333333
4.15,0.181447,-0.0435419444444,0.715800771605
4.2,0.1809325,0.00323944444444,0.796045833333
4.25,0.1823045,0.0426844444444,0.733533024691
4.3,0.1853915,0.0774608333333,0.613377160494
4.35,0.190022,0.108330833333,0.395985030864
4.4,0.1970535,0.121383888889,0.100570987654
4.45,0.203056,0.115286111111,-0.141011111111
4.5,0.2087155,0.1029,-0.297319598765
4.55,0.2135175,0.0847972222222,-0.423086265432
4.6,0.217462,0.0605966666667,-0.535831635802
4.65,0.219863,0.0299172222222,-0.616182561728
4.7,0.220549,-0.00333472222222,-0.642489814815
4.75,0.21952,-0.0365866666667,-0.610635277778
4.8,0.216776,-0.0666944444444,-0.519401512346
4.85,0.21266,-0.0912761111111,-0.369349598765
4.9,0.207172,-0.104729333333,-0.207260925926
4.95,0.201684,-0.108616666667,-0.102116604938
5,0.196196,-0.10976,-0.0487398765431